sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
42009788,8.6,7.5,4.4,7.5,7.0,6.25,,,,N1
3020557,8.0,8.5,6.0,,,,7.75,7.75,9.5,N1
1095735,7.4,8.75,5.0,,,,7.75,7.5,8.5,N1
12015761,5.4,7.25,,,,,7.25,6.75,,
16006167,6.0,7.25,5.6,,,,7.0,7.25,8.75,N1
12010026,5.8,6.5,4.4,,,,5.75,6.0,8.0,N1
2001741,6.6,6.75,5.0,,,,6.75,7.5,8.25,N1
19010372,8.6,8.5,8.4,9.25,7.25,7.25,,,,N1
38009553,,3.25,,,,,7.0,7.25,8.5,
34008787,4.2,5.75,3.0,,,,4.25,5.75,7.0,N1
26000962,4.6,7.0,,,,,7.75,8.0,,
51002381,6.8,9.25,5.4,,,,9.0,8.25,8.0,N1
44007008,8.2,8.75,7.6,8.0,5.25,6.25,,,,N1
19011519,7.2,8.25,4.2,,,,9.0,9.25,9.25,N1
46006050,7.2,8.0,7.4,4.5,5.25,5.25,,,,N1
52010980,5.0,3.25,,,,,3.25,5.0,,
10003407,4.0,6.25,3.2,,,,6.75,6.75,7.5,N1
3003165,5.8,8.0,3.4,,,,7.0,7.75,8.75,N1
14007679,6.4,7.75,3.6,,,,8.25,7.75,9.0,N1
61006952,7.2,8.0,5.0,7.25,7.5,5.75,,,,N1
3012604,8.2,8.75,8.4,8.0,6.0,7.5,,,,N1
41009235,5.0,6.8,9.0,3.5,7.25,4.25,,,,N1
34009181,3.6,7.0,5.2,,,,4.25,5.5,5.25,N1
30013720,8.2,8.5,6.4,,,,8.0,9.0,9.25,N1
18010583,5.8,8.0,4.8,,,,6.0,8.5,9.0,N1
28024697,7.2,8.5,4.2,7.0,7.5,6.0,,,,N1
50001720,7.2,7.25,3.4,6.25,5.75,5.25,,,,N1
3025495,5.8,8.25,5.0,4.0,4.75,4.75,,,,N1
36001460,7.4,6.5,4.4,6.0,8.0,6.25,,,,N1
50004466,8.4,7.5,8.6,,,,7.25,9.5,9.25,N1
16014191,4.0,8.0,,,,,6.25,6.0,,
44005594,8.0,7.0,6.4,7.5,7.0,6.25,,,,N1
56000774,7.2,7.0,5.8,5.25,7.25,6.75,,,,N1
15008833,5.0,7.0,,,,,6.0,6.75,,
2072540,7.4,7.0,8.8,4.25,6.25,5.5,,,,N1
53007244,7.2,7.5,5.6,6.5,7.0,5.75,,,,N1
21014545,7.6,6.75,6.4,8.25,4.0,4.0,,,,N1
14005054,5.8,8.0,4.4,,,,7.25,6.75,8.75,N1
18021044,3.6,7.25,5.0,,,,6.25,7.0,8.5,N1
1020835,7.6,9.0,7.6,,,,7.0,8.0,8.5,N1
1040655,6.4,7.5,4.2,,,,4.25,5.75,6.75,N1
16011473,6.6,7.0,,,,,6.0,6.25,,
51018105,4.8,8.75,4.6,,,,7.0,7.5,8.75,N1
17002347,7.6,9.5,6.2,,,,7.0,8.5,9.5,N1
54004870,8.6,7.5,4.8,7.75,8.5,6.0,,,,N1
47001899,5.6,6.75,2.6,,,,5.5,6.25,7.5,N1
60006076,6.0,7.5,2.8,,,,4.0,5.75,6.75,N1
12001074,7.2,8.25,3.6,4.25,5.25,7.25,,,,N1
1058479,7.2,9.0,8.8,,,,7.25,7.5,9.0,N1
23004938,4.4,6.25,4.2,,,,5.75,6.75,8.0,N1
35011260,5.2,6.25,4.8,,,,6.75,4.5,6.25,N1
40015617,3.8,5.5,2.8,,,,6.5,7.25,7.5,N3
17008154,7.8,7.75,9.6,7.25,7.25,8.0,,,,N3
43007832,4.6,5.5,3.4,,,,6.5,7.0,9.0,N1
33011886,7.6,8.0,7.4,7.0,4.0,7.0,,,,N1
26007396,6.2,8.5,5.6,,,,5.0,8.0,9.0,N1
31008678,7.4,6.5,5.0,,,,8.25,8.5,9.5,N1
28028558,7.0,7.5,4.2,5.0,7.5,6.75,,,,N1
36000762,8.6,6.25,8.6,7.75,5.25,7.0,,,,N1
1030682,7.8,7.75,6.4,,,,6.0,7.25,8.5,N1
8004412,,2.75,,,,,4.75,6.75,,
48011798,7.6,6.75,8.0,6.0,7.25,6.0,,,,N1
40008695,6.2,7.5,4.4,,,,6.5,6.0,7.75,N1
34011458,6.2,6.5,4.0,,,,5.0,7.25,7.0,N1
2056870,6.0,8.25,7.8,,,,6.25,7.0,7.0,N1
27007874,7.0,8.0,5.8,8.75,8.5,6.25,,,,N1
19005360,5.2,7.75,6.4,,,,6.0,8.0,8.0,N1
40010447,7.6,9.0,7.2,6.0,8.5,6.75,,,,N1
17016310,8.4,6.75,4.8,8.75,9.25,7.25,,,,N1
1101054,8.2,5.5,3.2,7.25,8.0,4.25,,,,N1
14007637,6.6,7.5,5.2,6.0,6.25,7.0,,,,N1
2085522,7.4,5.25,7.2,,,,5.25,8.5,7.75,N1
12011564,3.6,3.75,,,,,3.25,4.75,,
63003457,4.0,7.0,4.4,,,,5.5,6.75,5.5,N1
13004065,4.4,6.5,3.6,,,,5.0,5.75,8.0,N1
1105408,5.0,8.0,,5.0,4.5,5.25,,,,
31008272,6.8,7.75,4.8,,,,7.0,8.25,8.0,N1
18001754,4.0,6.5,2.8,,,,5.0,7.5,8.75,N1
22007444,7.0,7.75,6.2,,,,4.5,8.0,9.0,N1
